medra_code,medra_name
10000001,"""Ventilation"" pneumonitis"
10000002,11-beta-hydroxylase deficiency
10000003,11-oxysteroid activity incr
10000004,11-oxysteroid activity increased
10000005,17 ketosteroids urine
10000006,17 ketosteroids urine abnormal NOS
10000007,17 ketosteroids urine decreased
10000008,17 ketosteroids urine high
10000009,17 ketosteroids urine increased
10000010,17 ketosteroids urine low
10000011,17 ketosteroids urine normal
10000012,17 OHCS increased
10000013,"17,20-desmolase deficiency"
10000014,17-alpha-hydroxylase deficiency
10000015,17-hydroxycorticosteroid activity increased
10000016,17-hydroxysteroid activity incr
10000017,17-hydroxysteroid activity increased
10000018,1st degree heart block
10000019,1st degree vaginal prolapse
10000020,"20,22-desmolase deficiency"
10000021,21-hydroxylase deficiency
10000022,2nd degree heart block
10000023,2nd degree vaginal prolapse
10000024,"3,5,3-triiodothyronine abnormal"
10000025,"3,5,3-triiodothyronine decreased"
10000026,"3,5,3-triiodothyronine increased"
10000027,3rd degree vaginal prolapse
10000028,5'nucleotidase increased
10000029,5-alpha-reductase deficiency
10000030,5a-reductase inhibition therapy
10000031,5q-syndrome
10000033,A-hypervitaminosis
10000034,A-V dissociation
10000035,A-V malformation
10000036,A.R.D.S.
10000037,A/G ratio
10000038,A/G ratio normal
10000039,Abd. pain
10000040,Abdo pain
10000041,Abdo. bloating
10000042,Abdo. discomfort
10000043,Abdomen burning sensation of
10000044,Abdomen crushing
10000045,Abdomen enlarged
10000046,Abdomen enlarged feeling of
10000047,Abdomen mimicking acute
10000048,Abdominal abscess NOS
10000049,Abdominal actinomycotic infection
10000050,Abdominal adhesions
10000051,Abdominal aneurysm
10000052,Abdominal aneurysm without mention of rupture
10000053,"Abdominal aneurysm, ruptured"
10000054,Abdominal aortic aneurysm
10000055,Abdominal colic
10000056,Abdominal cramp
10000057,Abdominal cramps
10000058,Abdominal crampy pains
10000059,Abdominal discomfort
10000060,Abdominal distension
10000061,Abdominal distension gaseous
10000062,Abdominal distress
10000064,Abdominal flaccidity
10000065,Abdominal fullness
10000066,Abdominal guarding
10000067,Abdominal hernia acquired
10000068,Abdominal hernia NOS
10000069,Abdominal hernia NOS gangrenous
10000070,"Abdominal hernia NOS, obstructive"
10000071,Abdominal hernia of specified site
10000074,Abdominal herniation
10000075,Abdominal hysterectomy
10000076,Abdominal injury NOS
10000077,Abdominal mass
10000078,Abdominal mass NOS
10000079,Abdominal noises
10000080,"Abdominal or pelvic swelling, mass, or lump"
10000081,Abdominal pain
10000082,Abdominal pain generalised
10000083,Abdominal pain localised
10000084,Abdominal pain lower
10000085,Abdominal pain NOS
10000086,Abdominal pain peptic ulcer type
10000087,Abdominal pain upper
10000088,Abdominal pregnancy
10000089,Abdominal rebound
10000090,Abdominal rigidity
10000091,Abdominal scan NOS
10000092,Abdominal scan NOS abnormal
10000093,Abdominal scan NOS normal
10000094,Abdominal sinus repair
10000095,Abdominal symptom NOS
10000096,Abdominal syndrome acute
10000097,Abdominal tenderness
10000098,Abdominal transposition
10000099,Abdominal wall abscess
10000100,Abdominal wall abscess drainage
10000101,Abdominal wall anomaly
10000102,Abdominal wall biopsy
10000103,Abdominal wall biopsy abnormal
10000104,Abdominal wall biopsy normal
10000105,Abdominal wall operation NOS
10000106,Abdominal wall strained
10000107,Abdominal wind
10000108,Abdomino-perineal resection of rectum
10000109,Abdominocentesis
10000110,Abducens paralysis
10000111,Abducent nerve operation
10000112,Abducent nerve paralysis
10000113,ABGs abnormal
10000114,ABGs normal
10000115,Abnormal arterial blood gases
10000116,"Abnormal auditory perception, unspecified"
10000118,Abnormal behaviour NOS
10000119,Abnormal bowel sounds
10000120,Abnormal chest sounds
10000121,Abnormal chest sounds NOS
10000122,Abnormal coagulation profile
10000123,Abnormal complement fixation
10000124,Abnormal dark adaptation curve
10000125,Abnormal dreams
10000126,Abnormal ECG
10000127,Abnormal EEG
10000128,Abnormal ejaculation
10000129,Abnormal EKG
10000130,Abnormal electroencephalogram
10000131,Abnormal EMG
10000132,Abnormal eye movements NOS
10000133,Abnormal faeces
10000134,Abnormal feces
10000136,Abnormal gait
10000137,Abnormal glucose tolerance
10000138,Abnormal glucose tolerance in pregnancy
10000139,"Abnormal glucose tolerance of mother, antepartum"
10000140,"Abnormal glucose tolerance of mother, comp pregnancy, childbirth, or the puerp, unspec as to eoc"
10000141,"Abnormal glucose tolerance of mother, complicating pregnancy, childbirth, or the puerperium"
10000142,"Abnormal glucose tolerance of mother, postpartum"
10000143,"Abnormal glucose tolerance of mother, with delivery"
10000144,"Abnormal glucose tolerance of mother, with delivery, with mention of postpartum complication"
10000145,Abnormal glucose tolerance test
10000146,Abnormal glucose tolerance test (excl DM)
10000147,Abnormal hair growth
10000148,Abnormal hard tissue formation in pulp
